RecordID,CustomerID_Hash,Statement_Generation_Date,Statement_Period_Months,Opening_Balance,Closing_Balance,Total_Credits,Num_Credit_Transactions,Total_Debits,Num_Debit_Transactions,Probable_Salary_Deposits_Count,Probable_Salary_Total,Other_Credits_Total,ATM_Withdrawals_Count,ATM_Withdrawals_Total,POS_Purchases_Count,POS_Purchases_Total,Airtime_Purchases_Count,Airtime_Purchases_Total,Online_P2P_Payments_Count,Online_P2P_Payments_Total,Send_Money_eWallet_Count,Send_Money_eWallet_Total,Debit_Orders_Processed_Count,Debit_Orders_Processed_Total,Debit_Orders_Returned_Count,Debit_Orders_Returned_Total,Fees_Monthly_Account_Total,Fees_Service_Charges_Total,Fees_Penalty_Interest_Total,Fees_Unpaid_Item_Charges_Total,Fees_Honouring_Charges_Total,VAT_on_Charges,Transfers_To_Savings_Count,Transfers_To_Savings_Total,Days_Balance_Below_Zero,Min_Balance_Recorded,Max_Balance_Recorded,Account_Type_Code,Net_Income,Salary_Ratio,Savings_Ratio,Expense_Ratio,Balance_Stability,Fees_Total,Credit_Score_Class
11,d0815594c6,2024-08-21,3,7168.65,2241.0,9595.98,51,14523.63,11,4,3655.23,5940.75,10,3972.75,6,43.53,10,716.82,0,1368.55,1,1384.08,4,1690.03,0,0.0,13.72,299.18,0.0,0.0,0.0,43.81,2,2314.8,58,2940.55,12254.19,1,-4927.65,0.380912632164719,0.2412260133931084,0.8663257107374276,9313.64,312.90000000000003,0
12,82b5e79379,2024-05-03,3,7867.96,16932.32,23705.17,27,14640.81,67,6,13449.99,10255.18,2,3419.04,5,3240.21,9,455.98,5,676.08,2,1435.03,0,2942.05,0,0.0,15.49,27.11,0.0,0.0,0.0,5.96,1,1732.56,4,1210.42,20652.99,1,9064.359999999999,0.5673863549596987,0.07308785383104192,0.4637110733082213,19442.57,42.6,2
13,df10409b02,2024-12-19,3,7523.16,-631.55,21663.91,20,29818.62,79,4,9987.04,11676.87,3,802.25,12,10451.61,1,1255.17,7,199.13,3,2080.28,3,5179.64,0,0.0,34.32,276.92,39.95,0.0,39.4,54.68,8,1049.3,41,338.24,11461.24,3,-8154.709999999999,0.4609989609447233,0.04843539324157089,1.0216380061445016,11123.0,390.59,0
14,732ef75e44,2024-08-01,3,7157.21,17264.42,35106.89,7,24999.68,114,0,0.0,35106.89,4,5068.79,20,7163.72,2,695.7,6,21.3,0,416.35,2,5227.83,2,4270.71,39.23,86.54,49.92,125.35,17.38,44.58,3,1639.17,53,5112.15,24830.93,1,10107.21,0.0,0.046690834762065224,0.5915109986962931,19718.78,318.41999999999996,1
15,1ab2d75b0b,2024-11-21,3,8424.59,5342.84,38493.09,18,41574.84,46,1,21207.06,17286.03,7,9419.19,20,9753.25,10,432.12,4,3882.25,3,3117.63,5,8646.24,5,5150.04,22.88,84.57,0.0,97.32,0.0,28.67,9,7183.77,16,2705.38,29374.37,1,-3081.75,0.5509316087640665,0.18662492410975584,0.8861230990108634,26668.989999999998,204.76999999999998,2
16,55b6606c3b,2024-07-27,3,7235.5,1199.5,28226.17,23,34262.17,75,0,0.0,28226.17,7,3576.47,0,10248.14,5,1183.25,6,2472.45,4,803.26,0,3199.66,0,0.0,24.88,124.45,0.0,0.0,0.0,20.91,0,5534.83,66,804.78,28193.36,1,-6036.0,0.0,0.1960885943789044,0.9661747458594026,27388.58,149.33,0
17,c7ea422301,2024-02-26,3,7845.27,14214.22,31085.21,20,24716.26,82,4,22726.46,8358.75,3,1352.42,5,8196.44,3,591.85,5,578.96,3,176.76,3,5196.48,0,0.0,10.22,24.77,0.0,0.0,0.0,4.9,3,1531.11,90,4765.97,35859.44,2,6368.950000000001,0.7311020256900307,0.04925525676036932,0.6348819742268783,31093.47,34.99,1
18,678e89e293,2024-08-13,3,1996.32,19801.6,32865.4,19,15060.12,99,4,25594.1,7271.3,3,3425.36,1,3603.61,0,484.09,4,515.82,0,1267.18,0,363.39,0,0.0,14.2,67.78,0.0,0.0,0.0,11.48,1,1649.21,84,809.42,22251.93,3,17805.28,0.7787551650063592,0.05018073718865433,0.4319958969322225,21442.510000000002,81.98,2
19,664efe913c,2024-07-16,3,5852.25,17441.95,14050.61,34,2460.91,60,0,0.0,14050.61,10,394.32,7,554.68,0,2.24,7,1.76,0,217.96,5,462.66,3,232.91,22.24,239.88,0.0,40.31,0.0,42.34,4,110.96,17,1350.84,17569.27,1,11589.7,0.0,0.007897166030513977,0.12364604885930966,16218.43,302.43,2
20,2dac2b9d4a,2024-12-30,3,8887.38,13930.12,25488.28,55,20445.54,80,6,19655.89,5832.39,4,2439.23,0,229.38,0,351.85,6,241.76,1,1713.52,5,3588.73,2,548.37,9.75,160.85,0.0,173.96,0.0,48.24,4,2641.04,47,8243.07,14940.79,2,5042.739999999998,0.7711736531456811,0.10361781964102718,0.5947679259103681,6697.720000000001,344.56,2
21,2a8feec431,2024-07-20,3,5672.36,4957.55,4010.78,47,4725.59,108,6,3410.55,600.23,1,1357.83,19,1316.7,4,104.12,2,13.85,3,404.75,2,859.37,1,18.78,27.7,263.87,0.0,189.04,0.0,67.29,3,536.9,40,-815.84,5130.63,2,-714.81,0.850345818020435,0.13386423588429183,0.48802248031113876,5946.47,480.61,1
22,ab1fed30c7,2024-08-08,3,2542.73,12396.69,31941.41,29,22087.45,57,1,27810.46,4130.95,5,1939.85,14,4241.24,4,586.84,0,906.98,5,51.28,5,2816.54,5,373.19,5.76,281.85,0.0,136.14,0.0,59.33,0,3279.78,4,506.93,17426.29,2,9853.96,0.8706710192192517,0.1026811277272982,0.6405103911537304,16919.36,423.75,2
23,afceee0da4,2025-01-13,3,8965.72,18912.66,28755.92,38,18808.98,11,0,0.0,28755.92,9,5078.62,15,2520.23,7,429.58,8,521.86,1,1326.74,0,3791.89,0,0.0,12.95,84.49,0.0,0.0,0.0,13.64,4,3608.59,35,-1375.37,20784.71,2,9946.939999999999,0.0,0.12549033381648023,0.4986257225295613,22160.079999999998,97.44,2
24,4d2b3f10f2,2025-03-07,3,9369.89,15707.49,6505.87,14,168.27,49,6,4346.24,2159.63,2,50.38,15,59.08,2,2.62,2,3.91,1,7.28,2,36.25,2,30.25,8.41,47.26,0.0,55.33,0.0,15.54,7,10.65,17,1086.99,15811.4,3,6337.599999999999,0.6680490080496536,0.001636983216695077,0.010599177614174064,14724.41,111.0,2
25,e7c31ebc68,2024-08-19,3,6411.21,2871.45,5783.74,42,9323.5,27,3,5010.08,773.66,3,2612.02,16,2711.11,8,159.01,10,441.49,0,786.04,2,1382.85,0,0.0,11.84,239.79,0.0,0.0,0.0,35.23,6,663.57,45,5366.4,9523.64,3,-3539.76,0.8662353425292285,0.11473026104216304,0.7645377799826977,4157.24,251.63,1
26,6ffcb7ef53,2025-03-24,3,8789.92,16207.97,29054.64,37,21636.59,60,6,10626.3,18428.34,7,4687.92,10,3999.67,8,807.95,3,888.27,2,1674.41,4,2585.1,1,1249.44,32.49,26.92,19.88,175.73,51.34,42.89,0,2773.56,76,5044.34,35578.93,1,7418.049999999999,0.3657350426644419,0.09546013992945705,0.5717225936832137,30534.59,306.36,0
27,d389b7c06d,2024-07-27,3,8840.31,14122.37,34698.89,15,29416.83,54,6,21070.67,13628.22,4,3132.63,15,3800.23,4,710.95,10,622.53,1,484.43,5,7801.5,3,3595.04,43.33,77.33,0.0,172.88,0.0,41.1,8,3169.96,48,5372.85,23494.44,1,5282.059999999998,0.6072433440954451,0.0913562364675066,0.6756401128178745,18121.589999999997,293.53999999999996,1
28,d80d340922,2024-11-10,3,3960.8,7126.89,35080.97,46,31914.88,114,4,13371.63,21709.34,3,5836.58,15,6300.61,1,906.57,1,1774.33,5,75.03,4,6644.35,1,5517.85,35.01,246.37,0.0,82.48,0.0,50.94,3,3206.94,60,978.4,20260.66,2,3166.09,0.3811647739500931,0.09141537420430507,0.8174547414218156,19282.26,363.86,0
29,328c0154de,2024-09-26,3,6605.71,18404.56,3369.64,36,9975.35,117,4,1660.95,1708.69,2,1192.8,7,2477.32,2,342.55,2,877.06,2,456.81,2,2596.47,2,1226.62,22.57,176.31,0.0,18.2,0.0,30.39,1,578.02,62,910.45,13565.72,1,-6605.710000000001,0.4929161572156076,0.17153761232653933,1.0,12655.269999999999,217.07999999999998,0
30,d9e43a3c44,2024-01-26,3,7017.65,400.69,22092.41,14,28709.37,118,6,18168.98,3923.43,0,6003.11,7,2042.19,6,1199.74,4,1280.13,0,2031.55,4,2541.5,3,768.39,34.05,58.31,0.0,58.09,0.0,21.06,6,5082.8,45,4365.49,2686.02,1,-6616.959999999999,0.8224082388476405,0.2300699652052447,0.9862353426959615,-1679.4699999999998,150.45,1
31,d81ac1a021,2024-08-07,3,1897.04,7549.48,29439.83,32,23787.39,70,5,20271.57,9168.26,3,2473.25,14,2280.31,4,562.5,0,698.04,1,974.63,2,2897.44,0,0.0,6.02,292.19,0.0,0.0,0.0,41.75,4,2912.65,80,1136.16,10625.15,1,5652.440000000002,0.6885763266975387,0.09893569358246973,0.759086341424654,9488.99,298.21,0
32,878b0f8efb,2024-08-06,3,5671.55,18543.35,7057.24,9,12728.79,114,5,5136.16,1921.08,3,189.28,13,1683.1,6,79.04,2,485.7,4,568.0,5,2726.98,5,2188.05,10.57,242.57,0.0,160.87,0.0,57.96,3,891.83,73,227.99,17354.55,3,-5671.550000000001,0.7277859333110395,0.1263709325458678,1.0,17126.559999999998,414.01,0
33,9b1222d2a7,2024-06-09,3,2272.4,18636.88,14328.19,21,16600.59,85,3,12027.19,2301.0,6,2158.95,16,741.64,9,254.59,8,833.24,2,1365.54,4,4784.25,1,231.03,36.38,188.67,27.44,132.63,25.47,57.48,1,1394.04,37,-1089.38,17026.83,2,-2272.3999999999996,0.8394074897108428,0.09729351718535278,1.0,18116.210000000003,410.59000000000003,1
34,988cd14ef1,2025-04-25,3,5252.64,17901.12,8065.64,42,13318.28,60,3,2527.64,5538.0,5,3937.5,3,3710.86,3,17.79,9,1049.91,4,174.82,3,255.93,0,0.0,7.61,193.95,0.0,0.0,0.0,28.22,1,1317.67,84,2834.79,17848.36,2,-5252.64,0.31338368684940066,0.16336831299190144,1.0,15013.57,201.56,0
35,357803ccab,2025-03-31,3,7222.0,76.09,17597.3,51,24743.21,76,5,9637.0,7960.3,4,1067.29,2,325.35,8,837.84,7,553.02,2,2210.8,0,124.1,0,0.0,41.09,143.63,7.62,0.0,60.21,35.36,4,929.52,53,723.66,6084.69,2,-7145.91,0.5476408312638871,0.05282173969870378,0.9969342406917198,5361.03,252.55,0
36,8b47ace7ba,2025-01-20,3,5726.66,-903.86,583.57,5,7214.09,108,5,485.11,98.46,2,391.17,17,2549.61,1,31.89,4,165.55,5,555.11,4,729.54,4,587.09,11.0,241.2,0.0,126.29,0.0,52.99,9,691.35,54,4373.99,2949.8,2,-6630.52,0.8312798807341021,1.184690782596775,1.1432372512570859,-1424.1899999999996,378.49,2
37,2c855f53c0,2024-05-13,3,6515.26,7247.15,2189.64,11,1457.75,38,0,0.0,2189.64,9,16.03,14,285.06,6,63.24,1,50.29,0,18.26,3,143.0,1,65.79,14.64,98.67,39.95,123.47,6.31,39.63,3,159.33,13,6141.2,8065.16,2,731.8899999999999,0.0,0.07276538609086426,0.16746315293685166,1923.96,283.04,1
38,23d285bf22,2025-03-13,3,3084.13,13717.27,10780.85,57,147.71,40,6,8602.39,2178.46,0,0.75,11,1.98,7,0.48,4,7.02,3,0.19,1,35.93,1,9.04,44.14,73.95,0.0,76.38,0.0,27.23,5,16.92,57,1487.51,13731.17,2,10633.140000000001,0.7979324450298445,0.0015694495332000725,0.010653459290961835,12243.66,194.47,2
39,a73f905d2f,2024-04-17,3,8203.59,13898.81,36493.77,59,30798.55,116,5,21099.8,15393.97,6,5918.42,17,9540.24,10,154.44,4,423.37,4,2974.24,1,6525.3,1,6440.83,27.69,72.91,0.0,129.78,0.0,32.25,3,1863.99,86,-1197.27,15834.55,2,5695.2199999999975,0.5781753981570005,0.05107693724161686,0.6890462881924122,17031.82,230.38,0
40,7302b816ce,2024-12-18,3,8537.62,11601.53,19551.3,20,16487.39,80,3,16710.7,2840.6,4,1694.6,16,792.35,10,348.53,6,532.37,4,1093.28,5,1986.48,2,1895.54,23.15,206.13,0.0,20.83,0.0,35.02,2,1195.49,62,-672.13,20786.33,2,3063.91,0.8547104284625575,0.061146317636167416,0.5869713039874798,21458.460000000003,250.11,1
41,66869b7cce,2024-10-29,3,2592.04,11399.48,17253.53,31,8446.09,104,2,8713.17,8540.36,1,218.87,9,1134.42,5,61.42,7,604.45,1,101.32,0,1952.48,0,0.0,11.37,285.82,0.0,0.0,0.0,41.61,9,1515.53,31,1945.31,16341.68,3,8807.439999999999,0.5050079606897835,0.08783883645839431,0.4255906985790784,14396.37,297.19,2
42,5f489e29b7,2025-02-10,3,1934.99,11174.16,22265.17,24,13026.0,52,1,7372.52,14892.65,1,910.97,4,2677.43,10,92.43,3,1218.41,3,446.37,4,3234.92,0,0.0,18.05,218.2,0.0,0.0,0.0,33.08,2,2246.14,81,1221.99,22209.47,2,9239.169999999998,0.33112345425613193,0.10088133169430101,0.5382609040601385,20987.48,236.25,0
43,9ee6c732d4,2024-09-16,3,8123.62,11495.55,32362.0,14,28990.07,97,5,13897.5,18464.5,6,8158.07,13,6574.02,4,46.21,8,2085.78,4,2012.39,5,8603.89,2,8079.02,42.02,299.07,0.0,129.53,0.0,65.89,1,2352.99,20,430.68,35627.88,2,3371.9300000000003,0.42943884803164206,0.07270842345961312,0.7160584424790827,35197.2,470.62,1
44,40d487ab98,2024-12-31,3,4679.81,17667.98,22113.69,6,9125.52,90,0,0.0,22113.69,8,247.29,14,3573.51,1,307.37,9,527.58,2,134.56,4,1985.64,3,1687.66,31.46,225.14,30.84,1.57,45.61,46.85,4,1007.21,25,2654.5,25466.34,2,12988.169999999998,0.0,0.04554689877627841,0.3405870826879654,22811.84,334.61999999999995,2
45,55d2fef1f7,2024-01-27,3,3369.91,19351.79,28079.7,24,12097.82,24,2,18924.3,9155.4,3,3018.72,4,611.65,5,417.2,9,190.37,2,656.16,1,1562.81,1,398.92,28.4,263.45,7.41,118.35,67.89,67.97,2,535.12,87,551.68,26840.22,2,15981.880000000001,0.6739495080075641,0.019057183659369578,0.38467313267159753,26288.54,485.5,1
46,87bdb3c01c,2024-07-31,3,4273.75,18590.87,24846.88,33,10529.76,25,3,20187.68,4659.2,0,1375.54,10,3164.23,10,207.99,9,359.63,1,26.05,5,1421.58,5,435.75,18.82,52.93,0.0,53.0,0.0,17.47,10,1472.38,23,1454.75,21560.15,2,14317.12,0.8124834989342726,0.059258144282099,0.3615910782149974,20105.4,124.75,2
47,6faec7722d,2025-04-13,3,736.85,3944.11,38713.46,20,35506.2,71,6,27686.08,11027.38,1,2897.05,2,3417.54,3,523.82,10,1010.4,4,3511.35,1,4445.84,1,2472.75,33.1,282.56,0.0,21.97,0.0,47.27,7,531.65,6,180.53,13429.87,2,3207.260000000002,0.7151538508828713,0.013732949728595687,0.9000233458241519,13249.34,337.63,2
48,1f3cdd409d,2025-05-09,3,864.59,-13.86,10789.67,58,11668.12,97,0,0.0,10789.67,8,2944.83,9,998.78,10,249.7,5,561.58,2,697.82,4,1124.4,0,0.0,40.45,216.09,0.0,0.0,0.0,35.92,6,172.15,80,-735.73,1241.15,2,-878.4500000000007,0.0,0.01595507554911318,1.001189264698059,1976.88,256.54,0
49,4497a31618,2025-03-02,3,8768.5,8117.53,1122.77,54,1773.74,108,1,979.9,142.87,2,126.81,0,222.48,2,47.61,1,168.22,5,56.37,5,315.02,5,263.0,29.87,285.32,44.42,54.51,44.64,64.23,0,242.93,22,6592.71,8130.37,3,-650.97,0.872752211049458,0.21636666458847317,0.17932378754194356,1537.6599999999999,458.76,2
50,4e8a80985a,2024-04-08,3,9137.67,19036.05,28770.75,23,18872.37,43,1,20337.72,8433.03,3,978.65,3,4479.1,4,734.06,6,922.03,0,134.21,1,2023.46,0,0.0,30.24,190.4,0.0,0.0,0.0,30.89,4,466.87,37,-931.32,35236.54,3,9898.380000000001,0.706888767237559,0.016227244684271353,0.49784111287149396,36167.86,220.64000000000001,2
51,4eb8cbf3d8,2024-07-06,3,8007.22,238.79,39580.12,42,47348.55,49,4,12324.52,27255.6,6,6081.4,7,7736.19,3,1232.63,0,1619.57,3,4092.54,4,8772.61,0,0.0,36.87,156.64,0.0,0.0,0.0,27.09,10,4964.57,45,-202.46,30275.87,2,-7768.43,0.3113815723651166,0.12543089813775196,0.9949820687603047,30478.329999999998,193.51,0
52,a41111a3b3,2025-02-25,3,5430.72,383.84,25598.65,9,30645.53,106,0,0.0,25598.65,5,241.86,13,3513.87,5,833.49,8,2987.9,1,2460.72,4,2319.09,4,2141.56,5.51,68.21,0.0,119.77,0.0,27.09,9,3920.0,31,2063.2,14085.3,2,-5046.879999999997,0.0,0.15313307537702184,0.9876297842979086,12022.099999999999,193.49,0
53,9caa7b9752,2025-02-23,3,1787.12,7493.44,19284.29,27,13577.97,101,3,11831.4,7452.89,6,502.73,1,1255.46,7,659.51,0,139.53,1,242.97,4,2818.24,1,2717.97,43.7,233.63,0.0,57.9,0.0,46.93,9,1808.48,9,-321.4,19681.27,3,5706.3200000000015,0.6135253099803,0.09377996286096091,0.6443788052152182,20002.670000000002,335.22999999999996,2
54,0ea286fe11,2024-11-11,3,2960.4,4170.05,23021.14,18,21811.49,53,0,0.0,23021.14,5,4461.0,20,1583.84,5,585.89,9,1688.71,1,799.58,5,2873.52,5,1356.34,9.18,179.38,0.0,101.91,0.0,40.67,10,1455.68,27,2563.54,17677.57,1,1209.6499999999978,0.0,0.06323231603647778,0.839499506187855,15114.029999999999,290.47,1
55,f11350fdd7,2025-01-23,3,8750.1,16647.84,32225.26,8,24327.52,94,0,0.0,32225.26,1,1848.13,14,6876.76,10,944.38,6,1160.05,0,2281.08,4,294.68,0,0.0,9.38,177.41,0.0,0.0,0.0,26.15,7,2614.98,29,5890.15,36120.51,3,7897.739999999998,0.0,0.08114690153004196,0.5937109521429464,30230.36,186.79,1
56,e83739cd23,2024-10-02,3,2793.93,4033.26,16746.87,28,15507.54,100,3,14446.14,2300.73,8,4272.41,0,2972.95,4,759.97,4,369.01,1,103.19,4,1342.78,4,828.55,37.6,147.7,0.0,165.05,0.0,49.05,7,1811.02,31,-840.36,16754.17,3,1239.329999999998,0.8626173129665424,0.10814080481904978,0.7935980103168755,17594.53,350.35,2
57,32832fe548,2024-10-09,3,8453.97,17264.44,3362.14,8,11816.11,32,2,2596.57,765.57,1,3276.48,2,253.53,5,106.58,7,23.78,2,707.46,4,3425.68,2,3372.79,18.15,188.68,0.0,173.52,0.0,53.25,1,1386.59,64,-1006.34,17186.04,3,-8453.970000000001,0.7722968109596865,0.4124129274807117,1.0000000000000002,18192.38,380.35,0
58,6dbdf194bc,2024-04-15,3,7960.31,6639.17,22821.1,49,24142.24,103,3,19825.76,2995.34,3,5735.63,20,4152.8,5,990.18,4,1924.54,0,2028.38,1,4548.81,0,0.0,44.65,108.1,42.12,0.0,16.35,29.57,2,614.78,13,3950.68,15358.76,1,-1321.140000000003,0.8687469052762575,0.026939104600567018,0.7843123495642338,11408.08,211.22,2
59,45643036bf,2025-04-20,3,1307.38,2664.62,13340.89,30,11983.65,94,4,9397.27,3943.62,6,153.83,5,3130.41,2,398.85,1,1003.56,2,34.46,4,1560.09,3,1213.33,22.58,103.29,0.0,26.06,0.0,21.27,9,1782.04,87,-418.55,6511.17,2,1357.2399999999998,0.7043960335479867,0.1335772950680202,0.8180931946229827,6929.72,151.93,0
60,896a7db397,2025-03-17,3,2981.46,12088.65,33744.24,20,24637.05,103,2,25069.21,8675.03,4,638.03,1,3491.62,9,254.89,3,1710.65,5,1154.59,1,6485.96,0,0.0,32.68,101.02,0.0,0.0,0.0,18.72,1,3590.6,32,2711.24,32066.95,3,9107.189999999999,0.7429181987799992,0.1064063081580738,0.6708394938694158,29355.71,133.7,2
61,eacee0860c,2024-01-20,3,9130.16,9767.02,20745.04,40,20108.18,88,2,9602.9,11142.14,1,1016.96,2,3231.14,10,974.95,0,1925.08,5,1585.49,4,3003.61,4,2458.22,20.41,285.45,0.0,172.55,0.0,66.98,2,1393.44,39,4898.65,26889.19,2,636.8600000000006,0.46290101151889795,0.06716979094761928,0.6730726488860326,21990.54,478.41,1
62,6e41a3e7f0,2024-08-25,3,2693.37,1166.79,4675.5,53,6202.08,19,5,2334.09,2341.41,9,29.93,0,2022.74,0,308.49,10,149.85,1,245.21,5,178.27,3,101.49,27.36,39.23,0.0,29.13,0.0,13.4,6,133.84,73,2398.01,3703.4,1,-1526.58,0.49921719602181586,0.02862581542081061,0.8416595760272606,1305.3899999999999,95.72,0
63,8c358cf0a7,2024-02-14,3,1816.51,15082.72,21304.04,18,8037.83,59,1,18398.39,2905.65,6,448.73,15,1382.24,7,334.41,0,655.72,3,556.97,2,761.06,2,314.37,34.26,22.91,0.0,18.63,0.0,10.61,3,705.75,42,1274.61,18354.69,1,13266.210000000001,0.8636103762478853,0.033127519475179355,0.34764873672987884,17080.079999999998,75.8,2
64,b94dc9080e,2024-02-12,3,7602.02,-1533.5,7257.88,26,16393.4,13,5,2304.87,4953.01,0,4618.19,2,5020.13,5,217.97,10,514.79,0,1478.01,4,1408.28,4,74.39,26.15,275.08,19.07,124.36,24.04,65.62,7,2848.18,62,4395.32,9393.94,2,-9135.52,0.3175679399494067,0.3924258874492276,1.1031971951359028,4998.620000000001,468.7,0
65,ba03b1f1c0,2024-08-27,3,8135.98,2568.56,28887.59,7,34455.01,51,3,16659.13,12228.46,10,3145.22,2,6512.98,3,1247.18,1,3276.16,3,742.93,3,8593.51,0,0.0,39.2,70.84,0.0,0.0,0.0,15.41,1,5601.41,81,6024.5,13826.51,2,-5567.420000000002,0.5766881210928292,0.19390367974621628,0.9306236540668553,7802.01,110.04,0
66,35ee5afb99,2024-05-10,3,4968.22,8868.47,7900.48,46,4000.23,97,5,5154.81,2745.67,7,561.25,19,208.08,8,38.42,7,377.51,3,229.7,3,949.42,1,510.41,9.99,193.92,36.92,34.86,85.42,50.56,1,12.01,16,820.32,11919.13,2,3900.2499999999995,0.6524679513143506,0.0015201608003564341,0.3108495807657339,11098.81,361.11,2
67,851fa533c0,2025-03-12,3,9506.72,19914.06,6528.2,26,16034.919999999998,58,5,2191.05,4337.15,8,4483.23,6,6046.19,9,550.92,9,831.0,1,1078.99,2,3806.37,0,0.0,11.58,149.48,0.0,0.0,0.0,22.55,1,3033.84,76,2232.21,18764.95,2,-9506.719999999998,0.3356285040286756,0.46472840905609514,1.0,16532.74,161.06,0
68,a8f20ecc93,2024-09-06,3,8408.41,10343.31,1395.68,20,9804.09,81,6,600.53,795.15,8,1871.91,13,834.78,2,166.38,8,363.96,1,52.6,3,2534.42,0,0.0,11.3,297.99,4.77,0.0,70.3,53.81,3,777.81,43,7786.16,9827.97,2,-8408.41,0.43027771408918947,0.5572982345523328,1.0,2041.8099999999995,384.36,0
